id,name,type,lat,lon,region,catalog_status,evaluation_mode,event_time,magnitude,magnitude_label
T0388b,T0388b,InSight-site catalog event,4.5024,135.6234,Unspecified,Preliminary,Automatic,2019-12-30 16:58:19.0000 UTC,,Magnitude not reported
T0388a,T0388a,InSight-site catalog event,4.5024,135.6234,Unspecified,Preliminary,Automatic,2019-12-30 16:17:39.298 UTC,,Magnitude not reported
S0388a,S0388a,InSight-site catalog event,4.5024,135.6234,Elysium Southwest,Preliminary,Manual,2019-12-30 15:44:50.063979 UTC,,Magnitude not reported
T0387d,T0387d,InSight-site catalog event,4.5024,135.6234,Unspecified,Preliminary,Automatic,2019-12-29 16:15:43.0000 UTC,,Magnitude not reported
T0387c,T0387c,InSight-site catalog event,4.5024,135.6234,Unspecified,Preliminary,Automatic,2019-12-29 15:55:02.676 UTC,,Magnitude not reported
S0387a,S0387a,InSight-site catalog event,4.5024,135.6234,Elysium Southwest,Preliminary,Manual,2019-12-29 14:36:06.0000 UTC,2.1,MW 2.1
T0387b,T0387b,InSight-site catalog event,4.5024,135.6234,Unspecified,Preliminary,Automatic,2019-12-29 10:17:00.426 UTC,,Magnitude not reported
T0387a,T0387a,InSight-site catalog event,4.5024,135.6234,Unspecified,Preliminary,Automatic,2019-12-28 22:49:40.326 UTC,,Magnitude not reported
S0386b,S0386b,InSight-site catalog event,4.5024,135.6234,Elysium Southwest,Preliminary,Manual,2019-12-28 18:02:08.0000 UTC,1.7,MW 1.7
T0386d,T0386d,InSight-site catalog event,4.5024,135.6234,Unspecified,Preliminary,Automatic,2019-12-28 15:44:01.0000 UTC,,Magnitude not reported
T0386c,T0386c,InSight-site catalog event,4.5024,135.6234,Unspecified,Preliminary,Automatic,2019-12-28 15:25:13.0000 UTC,,Magnitude not reported
T0386b,T0386b,InSight-site catalog event,4.5024,135.6234,Unspecified,Preliminary,Automatic,2019-12-28 14:57:20.317 UTC,,Magnitude not reported
S0386a,S0386a,InSight-site catalog event,4.5024,135.6234,Elysium Southwest,Preliminary,Manual,2019-12-28 14:49:47.978301 UTC,,Magnitude not reported
T0386a,T0386a,InSight-site catalog event,4.5024,135.6234,Unspecified,Preliminary,Automatic,2019-12-28 14:27:41.717 UTC,,Magnitude not reported
T0385e,T0385e,InSight-site catalog event,4.5024,135.6234,Unspecified,Preliminary,Automatic,2019-12-27 15:56:44.039 UTC,,Magnitude not reported
T0385d,T0385d,InSight-site catalog event,4.5024,135.6234,Unspecified,Preliminary,Automatic,2019-12-27 15:09:28.539 UTC,,Magnitude not reported
S0385c,S0385c,InSight-site catalog event,4.5024,135.6234,Elysium Southwest,Preliminary,Manual,2019-12-27 15:04:23.651693 UTC,,Magnitude not reported
T0385c,T0385c,InSight-site catalog event,4.5024,135.6234,Unspecified,Preliminary,Automatic,2019-12-27 14:53:34.739 UTC,,Magnitude not reported
T0385b,T0385b,InSight-site catalog event,4.5024,135.6234,Unspecified,Preliminary,Automatic,2019-12-27 13:54:12.489 UTC,,Magnitude not reported
S0385b,S0385b,InSight-site catalog event,4.5024,135.6234,Elysium Southwest,Preliminary,Manual,2019-12-27 13:50:37.0000 UTC,1.7,MW 1.7
S0385a,S0385a,InSight-site catalog event,4.5024,135.6234,Elysium Southwest,Preliminary,Manual,2019-12-27 12:37:42.0000 UTC,2.0,MW 2.0
T0385a,T0385a,InSight-site catalog event,4.5024,135.6234,Unspecified,Preliminary,Automatic,2019-12-26 21:30:38.189 UTC,,Magnitude not reported
S0384d,S0384d,InSight-site catalog event,4.5024,135.6234,Elysium Southwest,Preliminary,Manual,2019-12-26 16:38:20.0000 UTC,2.0,MW 2.0
S0384c,S0384c,InSight-site catalog event,4.5024,135.6234,Elysium Southwest,Preliminary,Manual,2019-12-26 14:45:04.0000 UTC,1.8,MW 1.8
T0384f,T0384f,InSight-site catalog event,4.5024,135.6234,Unspecified,Preliminary,Automatic,2019-12-26 14:28:07.0000 UTC,,Magnitude not reported
T0384e,T0384e,InSight-site catalog event,4.5024,135.6234,Unspecified,Preliminary,Automatic,2019-12-26 14:24:50.62 UTC,,Magnitude not reported
T0384d,T0384d,InSight-site catalog event,4.5024,135.6234,Unspecified,Preliminary,Automatic,2019-12-26 14:03:27.0000 UTC,,Magnitude not reported
T0384c,T0384c,InSight-site catalog event,4.5024,135.6234,Unspecified,Preliminary,Automatic,2019-12-26 13:38:02.0000 UTC,,Magnitude not reported
T0384b,T0384b,InSight-site catalog event,4.5024,135.6234,Unspecified,Preliminary,Automatic,2019-12-26 13:06:27.22 UTC,,Magnitude not reported
S0384b,S0384b,InSight-site catalog event,4.5024,135.6234,Elysium Southwest,Preliminary,Manual,2019-12-26 13:04:26.0000 UTC,2.1,MW 2.1
S0384a,S0384a,InSight-site catalog event,4.5024,135.6234,Elysium Southwest,Preliminary,Manual,2019-12-26 11:49:57.0000 UTC,1.9,MW 1.9
T0384a,T0384a,InSight-site catalog event,4.5024,135.6234,Unspecified,Preliminary,Automatic,2019-12-26 10:28:45.12 UTC,,Magnitude not reported
S0383c,S0383c,InSight-site catalog event,4.5024,135.6234,Elysium Southwest,Preliminary,Manual,2019-12-25 15:40:17.228113 UTC,,Magnitude not reported
S0383b,S0383b,InSight-site catalog event,4.5024,135.6234,Elysium Southwest,Preliminary,Manual,2019-12-25 15:21:35.708711 UTC,,Magnitude not reported
S0383a,S0383a,InSight-site catalog event,4.5024,135.6234,Elysium Southwest,Preliminary,Manual,2019-12-25 14:32:24.0000 UTC,1.6,MW 1.6
T0383b,T0383b,InSight-site catalog event,4.5024,135.6234,Unspecified,Preliminary,Automatic,2019-12-25 13:47:53.0000 UTC,,Magnitude not reported
T0383a,T0383a,InSight-site catalog event,4.5024,135.6234,Unspecified,Preliminary,Automatic,2019-12-25 13:09:43.212 UTC,,Magnitude not reported
S0382a,S0382a,InSight-site catalog event,4.5024,135.6234,Elysium Southwest,Preliminary,Manual,2019-12-24 14:29:14.392722 UTC,,Magnitude not reported
T0382e,T0382e,InSight-site catalog event,4.5024,135.6234,Unspecified,Preliminary,Automatic,2019-12-24 13:08:17.0000 UTC,,Magnitude not reported
T0382d,T0382d,InSight-site catalog event,4.5024,135.6234,Unspecified,Preliminary,Automatic,2019-12-24 12:29:37.194 UTC,,Magnitude not reported
T0382c,T0382c,InSight-site catalog event,4.5024,135.6234,Unspecified,Preliminary,Automatic,2019-12-24 10:52:43.0000 UTC,,Magnitude not reported
T0382b,T0382b,InSight-site catalog event,4.5024,135.6234,Unspecified,Preliminary,Automatic,2019-12-24 08:42:36.744 UTC,,Magnitude not reported
T0382a,T0382a,InSight-site catalog event,4.5024,135.6234,Unspecified,Preliminary,Automatic,2019-12-24 07:42:39.244 UTC,,Magnitude not reported
S0381f,S0381f,InSight-site catalog event,4.5024,135.6234,Elysium Southwest,Preliminary,Manual,2019-12-23 13:46:28.871183 UTC,,Magnitude not reported
S0381e,S0381e,InSight-site catalog event,4.5024,135.6234,Elysium Southwest,Preliminary,Manual,2019-12-23 13:27:35.141195 UTC,,Magnitude not reported
S0381d,S0381d,InSight-site catalog event,4.5024,135.6234,Elysium Southwest,Preliminary,Manual,2019-12-23 11:46:16.501651 UTC,,Magnitude not reported
T0381c,T0381c,InSight-site catalog event,4.5024,135.6234,Unspecified,Preliminary,Automatic,2019-12-23 11:39:26.0000 UTC,,Magnitude not reported
S0381c,S0381c,InSight-site catalog event,4.5024,135.6234,Elysium Southwest,Preliminary,Manual,2019-12-23 11:02:28.10173 UTC,,Magnitude not reported
S0381b,S0381b,InSight-site catalog event,4.5024,135.6234,Elysium Southwest,Preliminary,Manual,2019-12-23 10:50:02.194769 UTC,,Magnitude not reported
S0381a,S0381a,InSight-site catalog event,4.5024,135.6234,Elysium Southwest,Preliminary,Manual,2019-12-23 09:56:48.481074 UTC,,Magnitude not reported
T0381b,T0381b,InSight-site catalog event,4.5024,135.6234,Unspecified,Preliminary,Automatic,2019-12-22 18:49:32.635 UTC,,Magnitude not reported
T0381a,T0381a,InSight-site catalog event,4.5024,135.6234,Unspecified,Preliminary,Automatic,2019-12-22 18:19:14.085 UTC,,Magnitude not reported
S0380a,S0380a,InSight-site catalog event,4.5024,135.6234,Elysium Southwest,Preliminary,Manual,2019-12-22 15:20:03.056761 UTC,,Magnitude not reported
T0380b,T0380b,InSight-site catalog event,4.5024,135.6234,Unspecified,Preliminary,Automatic,2019-12-22 10:47:23.028 UTC,,Magnitude not reported
T0380a,T0380a,InSight-site catalog event,4.5024,135.6234,Unspecified,Preliminary,Automatic,2019-12-21 18:24:00.678 UTC,,Magnitude not reported
S0379b,S0379b,InSight-site catalog event,4.5024,135.6234,Elysium Southwest,Preliminary,Manual,2019-12-21 13:43:49.183584 UTC,,Magnitude not reported
S0379a,S0379a,InSight-site catalog event,4.5024,135.6234,Elysium Southwest,Preliminary,Manual,2019-12-21 12:23:25.472635 UTC,,Magnitude not reported
T0379b,T0379b,InSight-site catalog event,4.5024,135.6234,Unspecified,Preliminary,Automatic,2019-12-21 11:12:14.317 UTC,,Magnitude not reported
T0379a,T0379a,InSight-site catalog event,4.5024,135.6234,Unspecified,Preliminary,Automatic,2019-12-21 10:29:25.0000 UTC,,Magnitude not reported
