Time	# Active Stations	ECNE (red > 0.6)	ECPN (red > 0.6)	EMFO (red > 0.6)	EPDN (red > 0.6)	EPLC (red > 0.6)	ESLN (red > 0.6)	ESPC (red > 0.6)	ESVO (red > 0.6)	
20210101_14:35	8	0	0	0	0	0	0	0	0	
20210101_14:40	8	0	0	0	0	0	0	0	0	
20210101_14:45	8	0	0	0	0	0	0	0	0	
20210101_14:50	8	0	0	0	0	0	0	0	0	
20210101_14:55	8	0	0	0	0	0	0	0	0	
20210101_15:00	8	0	0	0	0	0	0	0	0	
20210101_15:05	8	0	0	0	0	0	0	0	0	
20210101_15:10	8	0	0	0	0	0	0	0	0	
20210101_15:15	8	0	0	0	0	0	0	0	0	
20210101_15:20	8	0	0	0	0	0	0	0	0	
20210101_15:25	8	0	0	0	0	0	0	0	0	
20210101_15:30	8	0	0	0	0	0	0	0	0	
20210101_15:35	8	0	0	0	0	0	0	0	0	
20210101_15:40	8	0	0	0	0	0	0	0	0	
20210101_15:45	8	0	0	0	0	0	0	0	0	
20210101_15:50	8	0	0	0	0	0	0	0	0	
20210101_15:55	8	0	0	0	0	0	0	0	0	
20210101_16:00	8	0	0	0	0	0	0	0	0	
20210101_16:05	8	0	0	0	0	0	0	0	0	
20210101_16:10	8	0	0	0	0	0	0	0	0	
20210101_16:15	8	0	0	0	0	0	0	0	0	
20210101_16:20	8	0	0	0	0	0	0	0	0	
20210101_16:25	8	0	0	0	0	0	0	0	0	
20210101_16:30	8	0	0	0	0	0	0	0	0	
20210101_16:35	8	0	0	0	0	0	0	0	0	
20210101_16:40	8	0	0	0	0	0	0	0	0	
20210101_16:45	8	0	0	0	0	0	0	0	0	
20210101_16:50	8	0	0	0	0	0	0	0	0	
20210101_16:55	8	0	0	0	0	0	0	0	0	
20210101_17:00	8	0	0	0	0	0	0	0	0	
20210101_17:05	8	0	0	0	0	0	0	0	0	
20210101_17:10	8	0	0	0	0	0	0	0	0	
20210101_17:15	8	0	0	0	0	0	0	0	0	
20210101_17:20	8	0	0	0	0	0	0	0	0	
20210101_17:25	8	0	0	0	0	0	0	0	0	
20210101_17:30	8	0	0	0	0	0	0	0	0	
20210101_17:35	8	0	0	0	0	0	0	0	0	
20210101_17:40	8	0	0	0	0	0	0	0	0	
20210101_17:45	8	0	0	0	0	0	0	0	0	
20210101_17:50	8	0	0	0	0	0	0	0	0	
20210101_17:55	8	0	0	0	0	0	0	0	0	
20210101_18:00	8	0	0	0	0	0	0	0	0	
20210101_18:05	8	0	0	0	0	0	0	0	0	
20210101_18:10	8	0	0	0	0	0	0	0	0	
20210101_18:15	8	0	0	0	0	0	0	0	0	
20210101_18:20	8	0	0	0	0	0	0	0	0	
20210101_18:25	8	0	0	0	0	0	0	0	0	
20210101_18:30	8	0	0	0	0	0	0	0	0	
20210101_18:35	8	0	0	0	0	0	0	0	0	
20210101_18:40	8	0	0	0	0	0	0	0	0	
20210101_18:45	8	0	0	0	0	0	0	0	0	
20210101_18:50	8	0	0	0	0	0	0	0	0	
20210101_18:55	8	0	0	0	0	0	0	0	0	
20210101_19:00	8	0	0	0	0	0	0	0	0	
20210101_19:05	8	0	0	0	0	0	0	0	0	
20210101_19:10	8	0	0	0	0	0	0	0	0	
20210101_19:15	8	0	0	0	0	0	0	0	0	
20210101_19:20	8	0	0	0	0	0	0	0	0	
20210101_19:25	8	0	0	0	0	0	0	0	0	
20210101_19:30	8	0	0	0	0	0	0	0	0	
20210101_19:35	8	0	0	0	0	0	0	0	0	
20210101_19:40	8	0	0	0	0	0	0	0	0	
20210101_19:45	8	0	0	0	0	0	0	0	0	
20210101_19:50	8	0	0	0	0	0	0	0	0	
20210101_19:55	8	0	0	0	0	0	0	0	0	
20210101_20:00	8	0	0	0	0	0	0	0	0	
20210101_20:05	8	0	0	0	0	0	0	0	0	
20210101_20:10	8	0	0	0	0	0	0	0	0	
20210101_20:15	8	0	0	0	0	0	0	0	0	
20210101_20:20	8	0	0	0	0	0	0	0	0	
20210101_20:25	8	0	0	0	0	0	0	0	0	
20210101_20:30	8	0	0	0	0	0	0	0	0	
20210101_20:35	8	0	0	0	0	0	0	0	0	
20210101_20:40	8	0	0	0	0	0	0	0	0	
20210101_20:45	8	0	0	0	0	0	0	0	0	
20210101_20:50	8	0	0	0	0	0	0	0	0	
20210101_20:55	8	0	0	0	0	0	0	0	0	
20210101_21:00	8	0	0	0	0	0	0	0	0	
20210101_21:05	8	0	0	0	0	0	0	0	0	
20210101_21:10	8	0	0	0	0	0	0	0	0	
20210101_21:15	8	0	0	0	0	0	0	0	0	
20210101_21:20	8	0	0	0	0	0	0	0	0	
20210101_21:25	8	0	0	0	0	0	0	0	0	
20210101_21:30	8	0	0	0	0	0	0	0	0	
20210101_21:35	8	0	0	0	0	0	0	0	0	
20210101_21:40	8	0	0	0	0	0	0	0	0	
20210101_21:45	8	0	0	0	0	0	0	0	0	
20210101_21:50	8	0	0	0	0	0	0	0	0	
20210101_21:55	8	0	0	0	0	0	0	0	0	
20210101_22:00	8	0	0	0	0	0	0	0	0	
20210101_22:05	8	0	0	0	0	0	0	0	0	
20210101_22:10	8	0	0	0	0	0	0	0	0	
20210101_22:15	8	0	0	0	0	0	0	0	0	
20210101_22:20	8	0	0	0	0	0	0	0	0	
20210101_22:25	8	0	0	0	0	0	0	0	0	
20210101_22:30	8	0	0	0	0	0	0	0	0	
20210101_22:35	8	0	0	0	0	0	0	0	0	
20210101_22:40	8	0	0	0	0	0	0	0	0	
20210101_22:45	8	0	0	0	0	0	0	0	0	
20210101_22:50	8	0	0	0	0	0	0	0	0	
20210101_22:55	8	0	0	0	0	0	0	0	0	
20210101_23:00	8	0	0	0	0	0	0	0	0	
20210101_23:05	8	0	0	0	0	0	0	0	0	
20210101_23:10	8	0	0	0	0	0	0	0	0	
20210101_23:15	8	0	0	0	0	0	0	0	0	
20210101_23:20	8	0	0	0	0	0	0	0	0	
20210101_23:25	8	0	0	0	0	0	0	0	0	
20210101_23:30	8	0	0	0	0	0	0	0	0	
20210101_23:35	8	0	0	0	0	0	0	0	0	
20210101_23:40	8	0	0	0	0	0	0	0	0	
20210101_23:45	8	0	0	0	0	0	0	0	0	
20210101_23:50	8	0	0	0	0	0	0	0	0	
20210101_23:55	8	0	0	0	0	0	0	0	0	
20210102_00:00	8	0	0	0	0	0	0	0	0	
20210102_00:05	8	0	0	0	0	0	0	0	0	
20210102_00:10	8	0	0	0	0	0	0	0	0	
20210102_00:15	8	0	0	0	0	0	0	0	0	
20210102_00:20	8	0	0	0	0	0	0	0	0	
20210102_00:25	8	0	0	0	0	0	0	0	0	
20210102_00:30	8	0	0	0	0	0	0	0	0	
20210102_00:35	8	0	0	0	0	0	0	0	0	
20210102_00:40	8	0	0	0	0	0	0	0	0	
20210102_00:45	8	0	0	0	0	0	0	0	0	
20210102_00:50	8	0	0	0	0	0	0	0	0	
