station,x,y,elevation,est. elevation,d_elevation,%error,type,x_model,y_model
EPLU,498742.6291,4179753.888,2964.621537,2911.94189453125,52.67964246875,1.77694325603727,GNSS,48742.6291,54753.8879999998
ECPN,498811.5416,4177382.831,3037.121058,2989.22607421875,47.8949837812502,1.57698632575383,GNSS,48811.5416,52382.8309999998
EINT,499819.6544,4174693.743,2548.566999,2491.75708007812,56.8099189218801,2.22909262123268,GNSS,49819.6544,49693.7429999998
ECNE,500155.8715,4179773.867,2945.613487,2899.51391601562,46.0995709843801,1.56502444016614,GNSS,50155.8715,54773.8670000001
EDAM,500817.8161,4185976.485,1755.760261,1710.0830078125,45.6772531874999,2.60156549855413,GNSS,50817.8161,60976.4849999999
EPDN,501478.4901,4179831.285,2867.825305,2818.15991210938,49.6653928906198,1.73181374765155,GNSS,51478.4901,54831.2850000001
ENIC,501733.9635,4162973.966,771.432085,719.735229492188,51.6968555078121,6.70141371003671,GNSS,51733.9635,37973.966
ESPC,502417.7226,4171701.536,1653.368878,1608.52502441406,44.84385358594,2.7122715434311,GNSS,52417.7226,46701.5359999999
EMCN,502950.5456,4182658.732,1910.988934,1866.51293945312,44.47599454688,2.32738106200253,GNSS,52950.5456,57658.7319999998
EPED,505286,4163345,664,601.740112304688,62.259887695312,9.37648911073977,GNSS,55286,38345
EIIV,507254,4151853,105,33.4338798522949,71.5661201477051,68.1582096644811,GNSS,57254,26853
EMFN,507942.247,4176491.609,1204.564368,1153.94201660156,50.6223513984401,4.20254431753539,GNSS,57942.247,51491.6090000002
ECRI,508924.4513,4183272.448,1243.372509,1199.88403320312,43.48847579688,3.49762243270573,GNSS,58924.4513,58272.4479999999
EBDA,510786.5602,4165189.747,400.369842,354.647003173828,45.722838826172,11.4201505782176,GNSS,60786.5602,40189.747
ELIN,511973.756,4168823.863,341.347841,296.034912109375,45.312928890625,13.2747079219479,GNSS,61973.756,43823.8629999999
EBAG,514192.2973,4172803.505,283.337177,236.10920715332,47.22796984668,16.6684691175137,GNSS,64192.2973,47803.5049999999
ELAC,514697,4157156,75,12.5928401947021,62.4071598052979,83.2095464070639,GNSS,64697,32156
EPMN,515615,4185929,520,488.652313232422,31.347686767578,6.02840130145731,GNSS,65615,60929
ETEC,515705,4165667,76,3.20191192626953,72.7980880737305,95.7869579917506,GNSS,65705,40667
EPOZ,516627,4169433,130,61.6803207397461,68.3196792602539,52.5535994309645,GNSS,66627,44433
ERIP,517413,4175703,104,33.358039855957,70.641960144043,67.9249616769644,GNSS,67413,50703
EFIU,518513,4182493,117,46.2341613769531,70.7658386230469,60.4836227547409,GNSS,68513,57493
ADR,486120.080740344,4169857.00180753,590,638.553588867188,-48.553588867188,-8.22942184189626,GRAVITY,36120.080740344,44857.0018075299
CC,493210.371429719,4170358.4896688,1130,1155.52600097656,-25.52600097656,-2.25893813951858,GRAVITY,43210.371429719,45358.4896688
CH,489939.247109394,4170561.52740888,910,926.554809570312,-16.554809570312,-1.81920984289143,GRAVITY,39939.247109394,45561.5274088802
CE,494595.374436851,4171311.60517392,1320,1361.22094726562,-41.22094726562,-3.12279903527424,GRAVITY,44595.374436851,46311.6051739198
ZAF,509997.902833794,4171493.40066757,525,498.165588378906,26.834411621094,5.111316499256,GRAVITY,59997.902833794,46493.4006675701
HP,508428.521437196,4171536.02919634,680,701.843872070312,-21.843872070312,-3.21233412798707,GRAVITY,58428.521437196,46536.0291963401
IF,497337.458916167,4171609.82143058,1660,1680.84802246094,-20.84802246094,-1.25590496752651,GRAVITY,47337.458916167,46609.8214305802
PT,507352.776701865,4171690.32673184,980,1009.03302001953,-29.03302001953,-2.96255306321735,GRAVITY,57352.776701865,46690.3267318402
CF,496244.280518687,4171721.19234554,1560,1594.86206054688,-34.86206054688,-2.23474747095385,GRAVITY,46244.280518687,46721.19234554
VE,498589.420105692,4171831.40537572,1740,1756.73400878906,-16.73400878906,-0.961724643049425,GRAVITY,48589.420105692,46831.40537572
BP,506171.113359321,4172066.57727231,1140,1159.13305664062,-19.13305664062,-1.67833830180877,GRAVITY,56171.113359321,47066.5772723099
TG,499330.006047022,4172219.62426043,1860,1881.56005859375,-21.56005859375,-1.15914293514785,GRAVITY,49330.006047022,47219.6242604302
FM,501683.782506239,4172308.52579917,1750,1739.67504882812,10.32495117188,0.589997209821714,GRAVITY,51683.782506239,47308.5257991701
RS,499717.90296678,4172386.02146442,1890,1907.98803710938,-17.98803710938,-0.951747995205291,GRAVITY,49717.90296678,47386.02146442
M0,504813.27434902,4172398.51372693,1350,1368.54602050781,-18.54602050781,-1.37377929687481,GRAVITY,54813.27434902,47398.5137269301
MS,500661.16136965,4172430.42166532,1860,1879.59204101562,-19.59204101562,-1.05333553847419,GRAVITY,50661.16136965,47430.4216653202
FV,503658.328039614,4172653.09825235,1550,1554.77001953125,-4.77001953125,-0.307743195564516,GRAVITY,53658.328039614,47653.09825235
GAL,495615,4176181,1875,1878.47302246094,-3.47302246094,-0.185227864583467,GRAVITY,45615,51181
MSC,495636,4180377,1720,1707.06494140625,12.93505859375,0.752038290334302,GRAVITY,45636,55377
MSP,496673,4186231,1450,1436.01000976562,13.98999023438,0.964826912715862,GRAVITY,46673,61231
SLN,497745,4171768,1740,1731.61596679688,8.38403320312,0.481840988685057,GRAVITY,47745,46768
MNT,499986,4174527,2500,2483.96411132812,16.03588867188,0.6414355468752,GRAVITY,49986,49527
PDN,501467,4179837,2820,2819.03100585938,0.968994140619998,0.0343614943482269,GRAVITY,51467,54837
CVE,502201,4172230,1680,1677.67895507812,2.32104492188,0.138157435826191,GRAVITY,52201,47230
GPA,502466,4186668,1570,1562.85095214844,7.14904785156,0.455353366341401,GRAVITY,52466,61668
PPR,503128,4183432,1810,1808.9990234375,1.0009765625,0.0553025725138122,GRAVITY,53128,58432
SES,504529,4180536,1735,1730.59594726562,4.40405273438,0.25383589247147,GRAVITY,54529,55536
CPC,507739,4177795,1150,1150.34399414062,-0.343994140619998,-0.0299125339669563,GRAVITY,57739,52795
