#These data are freely available under tha Creative Commons Attribution 4.0 International Licence (CC BY 4.0)
# when using the data please cite:
# Petricca, Patrizio (2018): Revised dataset of known faults in Italy. GFZ Data Services. http://doi.org/10.5880/fidgeo.2018.003
#
#
#ID	Lf_max [km]	MwInstr_max	MwHist_max	PEMM
F34	0	0	0	0
F35	0	0	0	0
F36	0	0	0	0
F37	0	0	0	0
F38	0	0	0	0
F39	0	0	0	0
F40	0	0	0	0
F41	0	0	0	0
F42	0	0	0	0
F43	0	0	0	0
F44	0	0	0	0
F45	0	0	0	0
F46	0	0	0	0
F47	0	0	0	0
F48	0	0	0	0
F49	0	0	0	0
F50	0	0	0	0
F51	0	0	0	0
F52	0	0	0	0
F53	0	0	0	0
F54	0	0	0	0
F55	0	0	0	0
F56	0	0	0	0
G1	0	0	0	0
G2	0	0	0	0
G3	0	2.8	4.3	0
G4	0	2.5	6.1	0
G5	0	2.3	6.4	0
G6	0	3.2	5.1	0
G7	33.62	2.9	5.05	6.78942
G8	0	3.1	4.9	0
G9	0	0	0	0
G10	15.32	2.2	0	6.21938
G11	0	2.7	0	0
G12	0	4.1	4.36	0
G13	0	0	0	0
G14	11.24	3.1	4.7	5.99478
G15	36.79	2.8	5.46	6.85477
G16	36.79	3.7	4.76	6.85477
G17	29.54	3.5	0	6.69559
G18	0	2.4	0	0
G19	0	0	0	0
G20	0	2.4	0	0
G21	0	2.5	0	0
G22	0	0	0	0
G23	0	3.3	0	0
G24	0	0	0	0
G25	0	0	0	0
G26	0	2.6	0	0
G27	20.1	0	0	6.41634
G28	21.2	0	0	6.45498
G29	41.66	0	0	6.94493
G30	41.66	0	0	6.94493
G31	12.36	0	0	6.06367
G32	2.93	0	0	5.01967
G33	12.95	0	0	6.09749
G34	0	0	0	0
G35	25.68	0	0	6.59402
G36	22.01	0	0	6.48218
G37	8.29	0	0	5.77399
G38	0	0	0	0
G39	0	0	0	0
G40	0	0	0	0
G41	0	0	0	0
G42	0	0	0	0
G43	0	0	0	0
G44	0	0	0	0
G45	0	0	0	0
G46	0	0	0	0
G47	0	0	0	0
G48	0	0	0	0
G49	0	0	0	0
G50	0	0	0	0
G51	0	0	0	0
G52	0	0	0	0
G53	0	0	0	0
G54	0	0	0	0
G55	0	0	0	0
G56	0	0	0	0
H1	0	0	0	0
H2	0	2.7	0	0
H3	0	2.5	0	0
H4	0	2.7	0	0
H5	0	2.2	4.3	0
H6	0	3.4	0	0
H7	0	2.5	0	0
H8	0	2.5	0	0
H9	27.81	3	0	6.65182
H10	25.45	3.3	0	6.5875
H11	0	4	0	0
H12	0	2.2	0	0
H13	8.2	3.4	0	5.76607
H14	11.85	4	4.93	6.03311
H15	27.99	2.9	4.72	6.65649
H16	27.99	3.4	6.97	6.65649
H17	29.54	2.7	0	6.69559
H18	0	0	0	0
H19	0	0	0	0
H20	0	0	0	0
H21	0	0	0	0
H22	0	0	0	0
H23	0	0	0	0
H24	0	0	0	0
H25	0	0	0	0
H26	0	0	0	0
H27	18.9	0	0	6.37169
H28	37.66	0	0	6.87172
H29	37.66	0	0	6.87172
H30	13.76	0	0	6.14149
H31	20.36	0	0	6.42566
H32	21.17	0	0	6.45395
H33	21.17	0	0	6.45395
H34	16.4	0	0	6.26879
H35	20.7	0	0	6.43767
H36	20.7	0	0	6.43767
H37	16.56	0	0	6.27583
H38	0	0	0	0
H39	0	0	0	0
H40	0	0	0	0
H41	0	0	0	0
H42	0	0	0	0
H43	0	0	0	0
H44	0	0	0	0
H45	0	0	0	0
H46	0	0	0	0
H47	0	0	0	0
H48	0	0	0	0
H49	0	0	0	0
H50	0	0	0	0
H51	0	0	0	0
H52	0	0	0	0
H53	0	0	0	0
H54	0	0	0	0
H55	0	0	0	0
H56	0	0	0	0
I1	0	3.8	0	0
I2	0	3.9	0	0
I3	0	2.8	0	0
I4	0	0	0	0
I5	0	2.4	0	0
I6	0	2.8	0	0
I7	0	0	0	0
I8	0	0	0	0
I9	27.81	0	0	6.65182
I10	27.81	0	0	6.65182
I11	0	4.6	4.93	0
I12	12.35	4.8	5.12	6.06308
I13	12.35	2.1	4.93	6.06308
I14	13.71	3.8	4.3	6.13885
I15	13.71	2.1	0	6.13885
I16	19.18	3.6	0	6.38236
I17	0	0	0	0
I18	7.8	0	0	5.7298
I19	0	0	0	0
I20	0	0	0	0
I21	0	0	0	0
I22	0	0	0	0
I23	0	0	0	0
I24	0	0	0	0
I25	0	0	0	0
I26	41.19	0	0	6.9367
I27	18.9	0	0	6.37169
I28	10.46	0	0	5.94262
I29	15.28	0	0	6.21749
I30	19.82	0	0	6.40616
I31	19.82	0	0	6.40616
I32	18.04	0	0	6.33792
I33	17.92	0	0	6.33307
I34	17.92	0	0	6.33307
I35	6.07	0	0	5.54793
I36	18.08	0	0	6.33952
I37	31.27	0	0	6.73686
I38	16.56	0	0	6.27583
I39	0	0	0	0
I40	0	0	0	0
I41	0	0	0	0
I42	0	0	0	0
I43	0	0	0	0
I44	0	0	0	0
I45	0	0	0	0
I46	0	0	0	0
I47	0	0	0	0
I48	0	0	0	0
I49	0	0	0	0
I50	0	0	0	0
I51	0	0	0	0
I52	0	0	0	0
I53	0	0	0	0
I54	0	0	0	0
I55	0	0	0	0
I56	0	0	0	0
J1	0	3.5	0	0
J2	0	0	0	0
J3	0	0	0	0
J4	0	0	0	0
J5	0	0	0	0
J6	0	0	0	0
J7	47.17	0	0	7.03502
J8	0	0	0	0
J9	0	0	0	0
J10	23.72	2.1	0	6.53644
J11	23.72	4.7	5.24	6.53644
J12	4.12	3.1	5.16	5.26688
J13	11.3	2.9	4.72	5.99864
J14	0	4	0	0
J15	6.23	3.9	0	5.5668
J16	9.53	2.4	0	5.87509
J17	5.27	0	0	5.44542
J18	5.27	0	0	5.44542
J19	0	0	0	0
J20	0	0	0	0
J21	0	0	0	0
J22	0	0	0	0
J23	0	0	4.51	0
J24	0	0	0	0
J25	0	0	0	0
J26	41.19	0	0	6.9367
J27	7.13	0	0	5.66466
J28	13.47	0	5.2	6.12604
J29	13.47	0	0	6.12604
J30	21.07	0	0	6.45052
J31	21.07	0	0	6.45052
J32	18.04	0	0	6.33792
J33	24.43	0	0	6.55783
J34	51.95	0	0	7.10503
J35	51.95	0	0	7.10503
J36	18.08	0	0	6.33952
J37	31.27	0	0	6.73686
J38	4.04	0	0	5.25266
J39	0	0	0	0
J40	0	0	0	0
J41	0	0	0	0
J42	0	0	0	0
J43	0	0	0	0
J44	0	0	0	0
J45	0	0	0	0
J46	0	0	0	0
J47	0	0	0	0
J48	0	0	0	0
J49	0	0	0	0
J50	0	0	0	0
J51	0	0	0	0
J52	0	0	0	0
J53	0	0	0	0
J54	0	0	0	0
J55	0	0	0	0
J56	0	0	0	0
K1	0	3.2	0	0
K2	0	3.3	0	0
K3	0	3.2	0	0
K4	0	2.5	0	0
K5	5.17	0	0	5.43153
K6	0	2.9	0	0
K7	47.17	0	0	7.03502
K8	0	2.6	4.58	0
K9	0	3.4	4.51	0
K10	47.82	3.1	3.94	7.04495
K11	32.89	3.7	5.76	6.7735
K12	10.98	2.3	4.99	5.97781
K13	4.78	2.4	4.51	5.37464
K14	4.95	4.1	0	5.39999
K15	6	3.2	0	5.53951
K16	8.36	2.3	0	5.78008
K17	10.77	0	0	5.9638
K18	5.99	2.4	0	5.5383
K19	0	0	0	0
K20	0	0	0	0
K21	0	0	0	0
K22	0	0	0	0
K23	0	0	0	0
K24	0	0	0	0
K25	0	3.1	0	0
K26	41.19	0	0	6.9367
K27	10	0	0	5.91
K28	41.45	0	0	6.94127
K29	46.94	0	0	7.03148
K30	46.94	0	0	7.03148
K31	82.34	0	0	7.43907
K32	82.34	0	0	7.43907
K33	13.77	0	0	6.14202
K34	3.74	0	0	5.1967
K35	51.95	0	0	7.10503
K36	51.95	0	0	7.10503
K37	36.84	4.1	0	6.85575
K38	10.74	0	0	5.96178
K39	0	2.3	0	0
K40	0	0	0	0
K41	0	0	0	0
K42	0	0	0	0
K43	0	0	0	0
K44	0	0	0	0
K45	0	0	0	0
K46	0	0	0	0
K47	0	0	0	0
K48	0	0	0	0
K49	0	0	0	0
K50	0	0	0	0
K51	0	0	0	0
K52	0	0	0	0
K53	0	0	0	0
K54	0	0	0	0
K55	0	0	0	0
K56	0	0	0	0
L1	0	4.8	0	0
L2	0	2.6	6.04	0
L3	0	5.2	0	0
L4	10.51	0	4.72	5.94608
L5	12.82	0	0	6.09017
L6	0	0	0	0
L7	27.28	2.4	4.12	6.63786
L8	26.71	2.7	5.35	6.62255
L9	47.82	2.2	0	7.04495
L10	47.82	3.1	0	7.04495
L11	41.87	3.1	0	6.94858
L12	50.23	4	4.37	7.08061
L13	10.49	4	0	5.9447
L14	4.6	2.5	4.72	5.34681
L15	0	2.4	0	0
L16	8.36	2.6	0	5.78008
L17	9.3	2.2	0	5.85737
L18	7.5	3.2	0	5.70135
L19	0	0	0	0
L20	0	0	0	0
L21	0	0	0	0
L22	0	0	4.51	0
L23	0	0	0	0
L24	0	0	0	0
L25	0	0	0	0
L26	6.36	0	0	5.58177
L27	13.52	0	0	6.12873
L28	41.45	0	4.72	6.94127
L29	46.94	0	0	7.03148
L30	34.73	0	0	6.81298
L31	82.34	0	0	7.43907
L32	45.81	0	0	7.0138
L33	45.81	0	0	7.0138
L34	10.63	0	0	5.95431
L35	10.63	0	0	5.95431
L36	15.01	0	0	6.20456
L37	15.01	0	0	6.20456
L38	0	0	0	0
L39	0	0	0	0
L40	0	0	0	0
L41	0	0	0	0
L42	0	0	0	0
L43	0	0	0	0
L44	0	0	0	0
L45	0	0	0	0
L46	0	3.8	0	0
L47	0	0	0	0
L48	0	0	0	0
L49	0	0	0	0
L50	0	0	0	0
L51	0	0	0	0
L52	0	0	0	0
L53	0	0	0	0
L54	0	4.6	0	0
L55	0	0	0	0
L56	0	0	0	0
M1	0	3	5.5	0
M2	0	2.3	4.3	0
M3	0	4.1	4.7	0
M4	6.21	3.3	5	5.56446
M5	12.79	2.1	4.43	6.08847
M6	10.07	0	0	5.91506
M7	35.69	3.5	4.93	6.83275
M8	26.63	3	5.04	6.62037
M9	40.01	2.8	5.41	6.91562
M10	40.01	2.1	0	6.91562
M11	26.84	4.3	5.22	6.62607
M12	50.23	4.4	4.93	7.08061
M13	50.23	4	5.25	7.08061
M14	26.3	3	0	6.61133
M15	10.26	0	0	5.92862
M16	0	2.1	0	0
M17	8.71	0	0	5.80983
M18	8.71	0	0	5.80983
M19	4.77	0	0	5.37313
M20	3.89	0	0	5.22522
M21	0	0	0	0
M22	0	0	0	0
M23	0	0	0	0
M24	0	3.1	0	0
M25	0	0	0	0
M26	8.62	0	0	5.8023
M27	13.64	0	0	6.13514
M28	18.44	0	0	6.35382
M29	11.8	0	0	6.03004
M30	82.34	0	0	7.43907
M31	82.34	0	0	7.43907
M32	27.73	0	0	6.64973
M33	45.81	0	0	7.0138
M34	6.34	0	0	5.57949
M35	9.81	0	0	5.89609
M36	9.16	0	0	5.84637
M37	21.17	0	0	6.45395
M38	21.17	0	0	6.45395
M39	0	0	0	0
M40	0	0	0	0
M41	0	0	0	0
M42	0	0	0	0
M43	0	0	0	0
M44	0	0	0	0
M45	0	0	0	0
M46	0	0	0	0
M47	0	3.1	0	0
M48	0	0	0	0
M49	0	0	0	0
M50	0	0	0	0
M51	0	0	0	0
M52	0	0	0	0
M53	0	0	0	0
M54	0	0	0	0
M55	0	0	0	0
M56	0	0	0	0
N1	6.33	3.5	4.72	5.57834
N2	0	3	0	0
N3	5.86	2.6	5.19	5.52239
N4	0	3.4	3.5	0
N5	2.76	0	0	4.97632
N6	16.4	3.3	4.91	6.26879
N7	35.69	4.7	4.75	6.83275
N8	30.05	3.2	5.64	6.708
N9	23.61	0	0	6.53307
N10	58.38	3.1	4.8	7.18966
N11	31.77	4.3	5.14	6.74837
N12	49.29	4.9	0	7.06691
N13	27.75	4.2	5.83	6.65025
N14	15.69	4.6	5.55	6.23669
N15	20.78	2.6	0	6.44047
N16	0	3.1	0	0
N17	22.8	3.5	0	6.50775
N18	9.95	0	0	5.90636
N19	0	0	0	0
N20	20.5	0	0	6.43063
N21	20.5	0	0	6.43063
N22	16.91	0	0	6.291
N23	16.15	0	0	6.25765
N24	16.15	0	0	6.25765
N25	14.61	0	0	6.18497
N26	19.64	0	0	6.39955
N27	18.77	0	0	6.36669
N28	21.43	0	0	6.46281
N29	40.95	4.2	0	6.93246
N30	40.95	0	0	6.93246
N31	9.31	0	0	5.85815
N32	28.14	0	0	6.66037
N33	28.14	0	0	6.66037
N34	6.86	0	0	5.63666
N35	7.35	0	0	5.6867
N36	14.1	0	0	6.1592
N37	15.8	0	0	6.24176
N38	21.17	0	0	6.45395
N39	0	0	0	0
N40	0	0	0	0
N41	0	0	0	0
N42	0	0	0	0
N43	0	0	0	0
N44	0	0	0	0
N45	0	0	0	0
N46	0	0	0	0
N47	0	0	0	0
N48	0	0	0	0
N49	0	0	0	0
N50	0	0	0	0
N51	0	0	0	0
N52	0	0	0	0
N53	0	0	0	0
N54	0	0	0	0
N55	0	0	0	0
N56	0	0	0	0
O1	6.33	3.3	0	5.57834
O2	8.78	3.2	5.08	5.81564
O3	8.78	4.6	4.57	5.81564
O4	22.94	2.9	4.57	6.51219
O5	13.59	0	0	6.13248
O6	16.4	2.5	4.3	6.26879
O7	8.24	3.8	4.72	5.7696
O8	30.05	3.2	5.14	6.708
O9	24.21	2.3	5.19	6.55127
O10	58.38	2.6	5.11	7.18966
O11	58.38	2.1	5.67	7.18966
O12	75.28	5	5.41	7.37405
O13	27.75	4.2	5.43	6.65025
O14	25.28	5.1	6.48	6.58264
O15	22.73	4.2	4.48	6.50552
O16	27.52	3.8	5.15	6.64421
O17	10.02	4.2	5.15	5.91145
O18	10.02	2.5	0	5.91145
O19	0	0	0	0
O20	2.04	0	0	4.75708
O21	8.84	0	0	5.82058
O22	15.81	2.4	0	6.24222
O23	17.06	2.5	0	6.2974
O24	17.59	0	0	6.31959
O25	15.45	0	0	6.22551
O26	19.64	4.3	0	6.39955
O27	18.67	3.3	0	6.36281
O28	11.6	4.1	0	6.01764
O29	10.01	4.3	0	5.91072
O30	15.91	0	0	6.24679
O31	15.91	0	0	6.24679
O32	8.73	0	0	5.81149
O33	17.28	0	0	6.3067
O34	31.05	0	0	6.73174
O35	31.05	0	0	6.73174
O36	27.4	0	0	6.64104
O37	20.73	0	0	6.43872
O38	11.75	0	0	6.02696
O39	0	0	0	0
O40	0	0	0	0
O41	0	0	0	0
O42	0	0	0	0
O43	0	0	0	0
O44	0	0	0	0
O45	0	3.5	0	0
O46	0	0	0	0
O47	0	0	0	0
O48	0	0	0	0
O49	0	0	0	0
O50	0	0	0	0
O51	0	0	0	0
O52	0	0	0	0
O53	0	0	0	0
O54	0	0	0	0
O55	0	0	0	0
O56	0	0	0	0
P1	19.52	3.5	4.93	6.3951
P2	19.52	2.8	0	6.3951
P3	17.91	4	4.71	6.33267
P4	22.94	3	4.76	6.51219
P5	5.3	2.7	0	5.44954
P6	7.8	2.6	5.12	5.7298
P7	36.21	4.8	4.91	6.84324
P8	36.21	3.3	5.7	6.84324
P9	36.89	2.9	5.22	6.85674
P1	19.91	2.6	0	6.40945
P11	82.73	5.1	5.53	7.4425
P12	100.2	4.5	5.14	7.58145
P13	27.73	4.8	4.14	6.64973
P14	25.28	4.8	5.24	6.58264
P15	20.15	3.4	5.76	6.41814
P16	27.52	3.1	4.51	6.64421
P17	15.19	3.3	5.91	6.2132
P18	7.41	3.1	5.16	5.6926
P19	6.91	2.5	0	5.64193
P20	5.86	3.7	0	5.52239
P21	0	0	0	0
P22	0	0	0	0
P23	8.73	0	0	5.81149
P24	25.13	2.2	0	6.57832
P25	25.13	2.1	0	6.57832
P26	24.09	0	0	6.54767
P27	24.09	0	0	6.54767
P28	22.08	0	0	6.48448
P29	16.65	0	0	6.27976
P30	20.4	0	0	6.42708
P31	18.73	0	0	6.36514
P32	22.39	0	0	6.49459
P33	45.36	0	0	7.00664
P34	45.36	0	0	7.00664
P35	45.36	0	0	7.00664
P36	0	0	0	0
P37	25.58	0	0	6.59119
P38	21.98	0	0	6.48119
P39	0	0	0	0
P40	0	0	0	0
P41	0	0	0	0
P42	0	0	0	0
P43	0	3.4	0	0
P44	0	0	0	0
P45	0	3.2	0	0
P46	0	2.6	0	0
P47	0	0	0	0
P48	0	0	0	0
P49	0	0	0	0
P50	0	0	0	0
P51	0	0	0	0
P52	0	0	0	0
P53	0	0	0	0
P54	0	0	0	0
P55	0	0	0	0
P56	0	0	0	0
Q1	0	2.8	0	0
Q2	12.5	2.5	4.51	6.07184
Q3	0	2.6	4.09	0
Q4	11.65	3.4	0	6.02076
Q5	16.1	4.2	4.51	6.2554
Q6	36.21	3.3	4.97	6.84324
Q7	36.21	3.8	4.99	6.84324
Q8	36.94	3.8	5.08	6.85772
Q9	36.89	2.4	0	6.85674
Q10	11.91	3.1	0	6.03677
Q11	82.73	5.3	4.8	7.4425
Q12	100.2	3.4	5.98	7.58145
Q13	75.28	4.1	5.29	7.37405
Q14	20.94	4.4	4.91	6.44603
Q15	45.04	3.8	5.57	7.00151
Q16	16.77	3	4.93	6.28497
Q17	7.11	2.7	4.93	5.66262
Q18	17.76	3.5	5.14	6.32657
Q19	12.38	3.5	0	6.06484
Q20	5.27	2.6	0	5.44542
Q21	4.46	0	0	5.32439
Q22	10.9	0	0	5.9725
Q23	10.78	0	0	5.96447
Q24	12.95	0	0	6.09749
Q25	12.95	0	0	6.09749
Q26	23.19	0	0	6.52005
Q27	22.34	0	0	6.49297
Q28	14.73	0	0	6.1909
Q29	18.17	0	0	6.34312
Q30	18.17	0	0	6.34312
Q31	20.01	0	0	6.41308
Q32	22.39	0	0	6.49459
Q33	4.95	0	0	5.39999
Q34	13.21	0	0	6.11191
Q35	21.53	0	0	6.46618
Q36	21.53	0	0	6.46618
Q37	25.58	0	0	6.59119
Q38	9.67	0	0	5.88566
Q39	13.48	0	0	6.12658
Q40	0	0	0	0
Q41	10.83	0	0	5.96783
Q42	0	3.5	0	0
Q43	0	3.6	0	0
Q44	0	0	0	0
Q45	0	0	0	0
Q46	0	3.2	0	0
Q47	0	3.2	0	0
Q48	0	3.8	0	0
Q49	0	0	0	0
Q50	0	0	0	0
Q51	0	0	0	0
Q52	0	0	0	0
Q53	0	0	0	0
Q54	0	0	0	0
Q55	0	0	0	0
Q56	0	0	0	0
R1	10.15	3.5	4.09	5.9208
R2	12.5	3.4	4.72	6.07184
R3	18.28	5.3	5.04	6.3475
R4	31.95	2.1	0	6.75247
R5	31.95	2.8	0	6.75247
R6	124.8	4.3	5.1	7.74068
R7	124.8	4.4	4.38	7.74068
R8	36.94	2.8	5.86	6.85772
R9	36.94	2.6	6.69	6.85772
R10	18.19	3.3	4.72	6.34392
R11	125.7	5.9	4.72	7.74589
R12	53.86	3.4	5.13	7.13121
R13	100.2	2.8	5.57	7.58145
R14	24.38	3.7	5.57	6.55635
R15	45.04	4.5	5.12	7.00151
R16	45.04	3.3	5.14	7.00151
R17	15.81	3.1	4.94	6.24222
R18	17.76	2.6	5.61	6.32657
R19	17.76	3.1	0	6.32657
R20	7.6	0	0	5.71096
R21	4	0	0	5.24544
R22	6.75	0	0	5.62494
R23	8.88	0	0	5.82385
R24	17.71	3.1	0	6.32452
R25	11.57	0	0	6.01577
R26	23.19	0	0	6.52005
