PAG,Record Time, Retrieval Time, Node ID, PageNum
SLG,Record Time, Retrieval Time, Node ID, StartLogging,LogInterval,Jitter,SubLogInterval,Wake Up Block
SNS,Record Time, Retrieval Time, Node ID, SensorNum, MainLogCount, SecondaryLogCount, CountToFirstLog, LoggingFlags
BAS,Record Time, Retrieval Time, Node ID, CombinedCISandWktCIS, RXWait, Baseline 1, Baseline 2, ...
TIM,Record Time, Retrieval Time, Node ID
BAT,Record Time, Retrieval Time, Node ID, UsedPercentage %, Volts V
SSP,Record Time, Retrieval Time, Node ID,SoundSpeed mps
HRT,Record Time, Retrieval Time, Node ID,Temperature Deg C
BSL,Record Time, Retrieval Time, Node ID, RangeNode, RangeAddress, RangeMilliSeconds ms, TAT ms
PRS,Record Time, Retrieval Time, Node ID,Pressure Kpa, Temperature Deg C
INC,Record Time, Retrieval Time, Node ID, Pitch(Rads), Roll(Rads)
# 
# Data
BSL,2016/03/29 17:00:00,2016/04/03 11:28:37,5,3,2303,0.000,120
BSL,2016/03/29 17:00:00,2016/04/03 11:28:37,5,4,2304,0.000,200
PRS,2016/03/29 17:00:00,2016/04/03 11:28:37,5,105.903,20.60
TIM,2016/03/29 18:15:00,2016/04/03 11:28:37,5
SSP,2016/03/29 18:15:00,2016/04/03 11:28:37,5,9996.000
HRT,2016/03/29 18:15:00,2016/04/03 11:28:37,5,20.807549
BSL,2016/03/29 18:15:00,2016/04/03 11:28:37,5,1,2301,0.000,80
BSL,2016/03/29 18:15:00,2016/04/03 11:28:37,5,2,2302,0.000,160
BSL,2016/03/29 18:15:00,2016/04/03 11:28:37,5,3,2303,0.000,120
BSL,2016/03/29 18:15:00,2016/04/03 11:28:37,5,4,2304,0.000,200
PRS,2016/03/29 18:15:00,2016/04/03 11:28:37,5,105.486,20.64
TIM,2016/03/29 19:30:00,2016/04/03 11:28:37,5
SSP,2016/03/29 19:30:00,2016/04/03 11:28:37,5,9996.000
HRT,2016/03/29 19:30:00,2016/04/03 11:28:37,5,20.779860
BSL,2016/03/29 19:30:00,2016/04/03 11:28:37,5,1,2301,0.000,80
BSL,2016/03/29 19:30:00,2016/04/03 11:28:37,5,2,2302,0.000,160
BSL,2016/03/29 19:30:00,2016/04/03 11:28:37,5,3,2303,0.000,120
BSL,2016/03/29 19:30:00,2016/04/03 11:28:37,5,4,2304,0.000,200
PRS,2016/03/29 19:30:00,2016/04/03 11:28:37,5,105.722,20.62
TIM,2016/03/29 20:45:00,2016/04/03 11:28:37,5
SSP,2016/03/29 20:45:00,2016/04/03 11:28:37,5,9996.000
HRT,2016/03/29 20:45:00,2016/04/03 11:28:37,5,20.711538
BSL,2016/03/29 20:45:00,2016/04/03 11:28:37,5,1,2301,0.000,80
BSL,2016/03/29 20:45:00,2016/04/03 11:28:37,5,2,2302,0.000,160
BSL,2016/03/29 20:45:00,2016/04/03 11:28:37,5,3,2303,0.000,120
BSL,2016/03/29 20:45:00,2016/04/03 11:28:37,5,4,2304,0.000,200
PRS,2016/03/29 20:45:00,2016/04/03 11:28:37,5,105.368,20.56
TIM,2016/03/29 22:00:00,2016/04/03 11:28:37,5
SSP,2016/03/29 22:00:00,2016/04/03 11:28:37,5,9996.000
HRT,2016/03/29 22:00:00,2016/04/03 11:28:37,5,20.654743
BSL,2016/03/29 22:00:00,2016/04/03 11:28:37,5,1,2301,0.000,80
BSL,2016/03/29 22:00:00,2016/04/03 11:28:37,5,2,2302,0.000,160
BSL,2016/03/29 22:00:00,2016/04/03 11:28:37,5,3,2303,0.000,120
BSL,2016/03/29 22:00:00,2016/04/03 11:28:37,5,4,2304,0.000,200
PRS,2016/03/29 22:00:00,2016/04/03 11:28:37,5,105.589,20.50
TIM,2016/03/29 23:15:00,2016/04/03 11:28:37,5
SSP,2016/03/29 23:15:00,2016/04/03 11:28:37,5,9996.000
HRT,2016/03/29 23:15:00,2016/04/03 11:28:37,5,20.626207
BSL,2016/03/29 23:15:00,2016/04/03 11:28:37,5,1,2301,0.000,80
BSL,2016/03/29 23:15:00,2016/04/03 11:28:37,5,2,2302,0.000,160
BSL,2016/03/29 23:15:00,2016/04/03 11:28:37,5,3,2303,0.000,120
BSL,2016/03/29 23:15:00,2016/04/03 11:28:37,5,4,2304,0.000,200
PRS,2016/03/29 23:15:00,2016/04/03 11:28:37,5,105.626,20.47
TIM,2016/03/30 00:30:00,2016/04/03 11:28:37,5
SSP,2016/03/30 00:30:00,2016/04/03 11:28:37,5,9996.000
HRT,2016/03/30 00:30:00,2016/04/03 11:28:37,5,20.578453
BSL,2016/03/30 00:30:00,2016/04/03 11:28:37,5,1,2301,0.000,80
BSL,2016/03/30 00:30:00,2016/04/03 11:28:37,5,2,2302,0.000,160
BSL,2016/03/30 00:30:00,2016/04/03 11:28:37,5,3,2303,0.000,120
BSL,2016/03/30 00:30:00,2016/04/03 11:28:37,5,4,2304,0.000,200
PRS,2016/03/30 00:30:00,2016/04/03 11:28:37,5,105.508,20.43
TIM,2016/03/30 01:45:00,2016/04/03 11:28:37,5
SSP,2016/03/30 01:45:00,2016/04/03 11:28:37,5,9996.000
HRT,2016/03/30 01:45:00,2016/04/03 11:28:37,5,20.503729
BSL,2016/03/30 01:45:00,2016/04/03 11:28:37,5,1,2301,0.000,80
BSL,2016/03/30 01:45:00,2016/04/03 11:28:37,5,2,2302,0.000,160
BSL,2016/03/30 01:45:00,2016/04/03 11:28:37,5,3,2303,0.000,120
BSL,2016/03/30 01:45:00,2016/04/03 11:28:37,5,4,2304,0.000,200
PRS,2016/03/30 01:45:00,2016/04/03 11:28:37,5,105.637,20.35
TIM,2016/03/30 03:00:00,2016/04/03 11:28:37,5
SSP,2016/03/30 03:00:00,2016/04/03 11:28:37,5,9996.000
HRT,2016/03/30 03:00:00,2016/04/03 11:28:37,5,20.400547
BSL,2016/03/30 03:00:00,2016/04/03 11:28:37,5,1,2301,0.000,80
BSL,2016/03/30 03:00:00,2016/04/03 11:28:37,5,2,2302,0.000,160
BSL,2016/03/30 03:00:00,2016/04/03 11:28:37,5,3,2303,0.000,120
BSL,2016/03/30 03:00:00,2016/04/03 11:28:37,5,4,2304,0.000,200
PRS,2016/03/30 03:00:00,2016/04/03 11:28:37,5,105.797,20.26
TIM,2016/03/30 04:15:00,2016/04/03 11:28:37,5
SSP,2016/03/30 04:15:00,2016/04/03 11:28:37,5,9996.000
PAG,2016/03/30 04:15:00,2016/04/03 11:28:37,5,4
HRT,2016/03/30 04:15:00,2016/04/03 11:28:37,5,20.285181
BSL,2016/03/30 04:15:00,2016/04/03 11:28:37,5,1,2301,0.000,80
BSL,2016/03/30 04:15:00,2016/04/03 11:28:37,5,2,2302,0.000,160
BSL,2016/03/30 04:15:00,2016/04/03 11:28:37,5,3,2303,0.000,120
BSL,2016/03/30 04:15:00,2016/04/03 11:28:37,5,4,2304,0.000,200
PRS,2016/03/30 04:15:00,2016/04/03 11:28:37,5,105.657,20.14
INC,2016/03/30 04:15:00,2016/04/03 11:28:37,5,1.151,-0.416
TIM,2016/03/30 05:30:00,2016/04/03 11:28:37,5
SSP,2016/03/30 05:30:00,2016/04/03 11:28:37,5,9996.000
HRT,2016/03/30 05:30:00,2016/04/03 11:28:37,5,20.192314
BSL,2016/03/30 05:30:00,2016/04/03 11:28:37,5,1,2301,0.000,80
BSL,2016/03/30 05:30:00,2016/04/03 11:28:37,5,2,2302,0.000,160
BSL,2016/03/30 05:30:00,2016/04/03 11:28:37,5,3,2303,0.000,120
BSL,2016/03/30 05:30:00,2016/04/03 11:28:37,5,4,2304,0.000,200
PRS,2016/03/30 05:30:00,2016/04/03 11:28:37,5,105.736,20.04
TIM,2016/03/30 06:45:00,2016/04/03 11:28:37,5
SSP,2016/03/30 06:45:00,2016/04/03 11:28:37,5,9996.000
HRT,2016/03/30 06:45:00,2016/04/03 11:28:37,5,20.150566
BSL,2016/03/30 06:45:00,2016/04/03 11:28:37,5,1,2301,0.000,80
BSL,2016/03/30 06:45:00,2016/04/03 11:28:37,5,2,2302,0.000,160
BSL,2016/03/30 06:45:00,2016/04/03 11:28:37,5,3,2303,0.000,120
BSL,2016/03/30 06:45:00,2016/04/03 11:28:37,5,4,2304,0.000,200
PRS,2016/03/30 06:45:00,2016/04/03 11:28:37,5,105.779,19.99
